109,1.1801,1.0161,0.8938,0.57135,0.45809,0.3326,0.20747
110,1.1848,1.0366,0.91656,0.57754,0.46457,0.33689,0.20989
111,1.1903,1.0584,0.93997,0.5844,0.47166,0.34166,0.21264
112,1.1967,1.0813,0.964,0.59193,0.47938,0.34692,0.21572
113,1.2039,1.1054,0.98861,0.60016,0.48776,0.35269,0.21915
114,1.212,1.1306,1.0138,0.6091,0.4968,0.35898,0.22294
115,1.2208,1.1569,1.0394,0.61876,0.50654,0.36582,0.2271
116,1.2304,1.1842,1.0655,0.62917,0.51701,0.37322,0.23165
117,1.2408,1.2126,1.0921,0.64034,0.52822,0.3812,0.23661
118,1.2518,1.242,1.119,0.65231,0.5402,0.3898,0.242
119,1.2636,1.2723,1.1464,0.66508,0.55299,0.39903,0.24783
120,1.2761,1.3036,1.174,0.6787,0.56661,0.40892,0.25413
121,1.2892,1.3357,1.2019,0.69317,0.5811,0.4195,0.26093
122,1.303,1.3687,1.2301,0.70854,0.5965,0.43081,0.26824
123,1.3174,1.4025,1.2585,0.72482,0.61284,0.44287,0.2761
124,1.3323,1.437,1.2871,0.74206,0.63016,0.45573,0.28454
125,1.3478,1.4723,1.3158,0.76027,0.6485,0.46942,0.29358
126,1.3638,1.5082,1.3447,0.77949,0.66791,0.48397,0.30327
127,1.3802,1.5448,1.3737,0.79975,0.68843,0.49943,0.31364
128,1.3971,1.5819,1.4027,0.82108,0.7101,0.51585,0.32472
129,1.4145,1.6196,1.4317,0.84353,0.73298,0.53327,0.33657
130,1.4322,1.6578,1.4607,0.86712,0.75711,0.55174,0.34921
131,1.4502,1.6965,1.4897,0.89188,0.78255,0.57131,0.36272
132,1.4686,1.7355,1.5186,0.91785,0.80935,0.59202,0.37712
133,1.4872,1.7749,1.5474,0.94507,0.83756,0.61395,0.39247
134,1.5061,1.8146,1.576,0.97357,0.86723,0.63713,0.40884
135,1.5251,1.8545,1.6045,1.0034,0.89843,0.66163,0.42628
136,1.5443,1.8947,1.6327,1.0345,0.9312,0.68751,0.44485
137,1.5636,1.9349,1.6608,1.0671,0.9656,0.71483,0.46462
138,1.5829,1.9753,1.6886,1.101,1.0017,0.74365,0.48565
139,1.6023,2.0157,1.716,1.1363,1.0395,0.77403,0.50801
140,1.6217,2.056,1.7432,1.1731,1.0791,0.80603,0.53179
141,1.641,2.0963,1.77,1.2114,1.1206,0.83971,0.55704
142,1.6601,2.1364,1.7964,1.2511,1.1639,0.87513,0.58386
143,1.6791,2.1764,1.8225,1.2923,1.2091,0.91235,0.61231
144,1.6979,2.216,1.848,1.335,1.2563,0.95142,0.64248
145,1.7164,2.2553,1.8732,1.3792,1.3055,0.99238,0.67444
146,1.7347,2.2943,1.8978,1.4248,1.3566,1.0353,0.70827
147,1.7525,2.3328,1.9219,1.4719,1.4098,1.0802,0.74405
148,1.7699,2.3707,1.9454,1.5204,1.465,1.1271,0.78184
149,1.7869,2.4081,1.9684,1.5702,1.5221,1.176,0.8217
150,1.8033,2.4448,1.9907,1.6214,1.5813,1.2269,0.8637
151,1.8191,2.4809,2.0125,1.6738,1.6423,1.2799,0.90789
152,1.8343,2.5161,2.0335,1.7274,1.7052,1.3349,0.95429
153,1.8488,2.5504,2.0539,1.7821,1.7698,1.3918,1.0029
154,1.8625,2.5839,2.0736,1.8377,1.8362,1.4506,1.0538
155,1.8754,2.6163,2.0925,1.8942,1.904,1.5112,1.1069
156,1.8874,2.6476,2.1107,1.9514,1.9733,1.5735,1.1622
157,1.8985,2.6778,2.1281,2.0091,2.0437,1.6374,1.2195
158,1.9086,2.7068,2.1447,2.0671,2.1152,1.7026,1.2789
159,1.9176,2.7345,2.1604,2.1253,2.1874,1.7691,1.3402
160,1.9254,2.7608,2.1753,2.1835,2.2602,1.8365,1.4031
161,1.9321,2.7856,2.1893,2.2414,2.3331,1.9045,1.4675
162,1.9375,2.8089,2.2024,2.2987,2.406,1.973,1.533
163,1.9416,2.8306,2.2145,2.3553,2.4784,2.0415,1.5995
164,1.9442,2.8506,2.2258,2.4108,2.55,2.1096,1.6664
165,1.9454,2.8688,2.236,2.465,2.6203,2.1771,1.7335
166,1.945,2.8852,2.2452,2.5176,2.689,2.2434,1.8002
167,1.943,2.8996,2.2534,2.5683,2.7556,2.308,1.866
168,1.9394,2.912,2.2606,2.6167,2.8197,2.3706,1.9304
169,1.9339,2.9223,2.2667,2.6626,2.8808,2.4307,1.9928
170,1.9266,2.9303,2.2717,2.7057,2.9385,2.4876,2.0526
171,1.9174,2.9361,2.2756,2.7457,2.9923,2.541,2.1092
172,1.9062,2.9395,2.2784,2.7823,3.0419,2.5903,2.1619
173,1.8929,2.9404,2.28,2.8153,3.0866,2.6351,2.2102
174,1.8775,2.9388,2.2804,2.8444,3.1263,2.675,2.2534
175,1.8598,2.9345,2.2797,2.8695,3.1605,2.7094,2.291
176,1.8398,2.9274,2.2777,2.8902,3.189,2.7382,2.3225
177,1.8174,2.9175,2.2746,2.9065,3.2114,2.7608,2.3475
178,1.7926,2.9047,2.2701,2.9183,3.2275,2.7772,2.3656
179,1.7651,2.8888,2.2644,2.9254,3.2373,2.7871,2.3765
180,1.735,2.8699,2.2575,2.9277,3.2406,2.7904,2.3802
